variant,investor,feature,context,mean,std,positive_rate,negative_rate,dominant_direction,direction_consistency
e0_baseline,institution,underwater,kospi_return_1d,0.0031321934576327,0.0009802398716485,1.0,0.0,positive,1.0
e0_baseline,institution,underwater,fx_level_z_252,0.0004849808428843,0.0006213024766315,0.8222222222222222,0.1777777777777777,positive,0.8222222222222222
e0_baseline,institution,herd,kospi_return_1d,-0.0003940892630149,0.0006937291602608,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
e0_baseline,institution,herd,fx_level_z_252,-0.001715625379317,0.0013060973907823,0.0888888888888888,0.9111111111111112,negative,0.9111111111111112
e0_baseline,institution,momentum,kospi_return_1d,-0.0001249549331179,0.0005328510783029,0.2888888888888888,0.7111111111111111,negative,0.7111111111111111
e0_baseline,institution,momentum,fx_level_z_252,0.0002673456052434,0.0004536594418705,0.7555555555555555,0.2444444444444444,positive,0.7555555555555555
e0_baseline,institution,volatility,kospi_return_1d,-0.0004338270391195,0.0007842324026003,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
e0_baseline,institution,volatility,fx_level_z_252,0.0044628299048377,0.000356137569873,1.0,0.0,positive,1.0
e1_persistence,institution,underwater,kospi_return_1d,0.0031575653886344,0.0009918375589699,0.9777777777777776,0.0222222222222222,positive,0.9777777777777776
e1_persistence,institution,underwater,fx_level_z_252,0.0004649456810309,0.0006008319060977,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
e1_persistence,institution,herd,kospi_return_1d,-0.0003985200860673,0.0006822327419473,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
e1_persistence,institution,herd,fx_level_z_252,-0.0016833334258586,0.0012781817092797,0.0444444444444444,0.9555555555555556,negative,0.9555555555555556
e1_persistence,institution,momentum,kospi_return_1d,-0.0001659303241265,0.000530221146951,0.2666666666666666,0.7333333333333333,negative,0.7333333333333333
e1_persistence,institution,momentum,fx_level_z_252,0.0002648113896915,0.0004277937597788,0.7333333333333333,0.2666666666666666,positive,0.7333333333333333
e1_persistence,institution,volatility,kospi_return_1d,-0.0004280739012756,0.0007827649478404,0.2,0.8,negative,0.8
e1_persistence,institution,volatility,fx_level_z_252,0.0043841463358451,0.0004010820062351,1.0,0.0,positive,1.0
e1_persistence,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
e1_persistence,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
e7_persistence_liquidity,institution,underwater,kospi_return_1d,0.0031402453702564,0.0009869169202613,1.0,0.0,positive,1.0
e7_persistence_liquidity,institution,underwater,fx_level_z_252,0.00046991190789,0.0006038042826072,0.8,0.2,positive,0.8
e7_persistence_liquidity,institution,underwater,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
e7_persistence_liquidity,institution,herd,kospi_return_1d,-0.0004010904910198,0.0006877851766421,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
e7_persistence_liquidity,institution,herd,fx_level_z_252,-0.0016505737395669,0.0012878299145218,0.0666666666666666,0.9333333333333332,negative,0.9333333333333332
e7_persistence_liquidity,institution,herd,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
e7_persistence_liquidity,institution,momentum,kospi_return_1d,-0.0001662363521366,0.0005174811444166,0.2444444444444444,0.7555555555555555,negative,0.7555555555555555
e7_persistence_liquidity,institution,momentum,fx_level_z_252,0.0002620732307857,0.0004194897353299,0.7777777777777778,0.2222222222222222,positive,0.7777777777777778
e7_persistence_liquidity,institution,momentum,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
e7_persistence_liquidity,institution,volatility,kospi_return_1d,-0.0004304856200987,0.000747448258737,0.1777777777777777,0.8222222222222222,negative,0.8222222222222222
e7_persistence_liquidity,institution,volatility,fx_level_z_252,0.0043897990033858,0.0003969407203515,1.0,0.0,positive,1.0
e7_persistence_liquidity,institution,volatility,liquidity_capacity_20,0.0,0.0,0.0,0.0,zero,1.0
e7_persistence_liquidity,institution,execution_persistence_3,kospi_return_1d,0.0,0.0,0.0,0.0,zero,1.0
e7_persistence_liquidity,institution,execution_persistence_3,fx_level_z_252,0.0,0.0,0.0,0.0,zero,1.0
e7_persistence_liquidity,institution,execution_persistence_3,liquidity_capacity_20,0.0010105721528008,0.0010911315887991,0.9111111111111112,0.0888888888888888,positive,0.9111111111111112
